epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3375.78,0.69835,0.63548,1.14692,0.82225,0.74207,0.8267,0.65806,0.77243,0.72964,1.15521,0.0002575,0.0002575,0.0002575
77,3419.63,0.70661,0.64501,1.14721,0.83408,0.74385,0.82815,0.65846,0.76226,0.73987,1.1477,0.0002476,0.0002476,0.0002476
78,3463.44,0.7074,0.64256,1.15308,0.83157,0.74205,0.82067,0.65325,0.7799,0.75156,1.15976,0.0002377,0.0002377,0.0002377
79,3507.57,0.70836,0.64158,1.15228,0.85122,0.72996,0.83007,0.66247,0.76267,0.73683,1.14878,0.0002278,0.0002278,0.0002278
80,3551.64,0.69091,0.63342,1.14144,0.8185,0.75773,0.83941,0.67036,0.75858,0.71885,1.13773,0.0002179,0.0002179,0.0002179
81,3595.72,0.6866,0.61348,1.13616,0.82937,0.74877,0.83437,0.6659,0.76111,0.72262,1.14876,0.000208,0.000208,0.000208
82,3639.88,0.69752,0.61889,1.13796,0.82368,0.7487,0.83045,0.65857,0.77339,0.74586,1.15432,0.0001981,0.0001981,0.0001981
83,3684,0.6853,0.60852,1.13238,0.83176,0.75036,0.83232,0.66497,0.77225,0.7216,1.15951,0.0001882,0.0001882,0.0001882
84,3728.12,0.69639,0.6135,1.14113,0.83924,0.73624,0.8303,0.66374,0.76639,0.73335,1.15388,0.0001783,0.0001783,0.0001783
85,3772.18,0.68786,0.61167,1.13547,0.83006,0.75425,0.83274,0.66624,0.76831,0.72059,1.15455,0.0001684,0.0001684,0.0001684
86,3816.18,0.69136,0.60557,1.13429,0.8412,0.73519,0.83346,0.66166,0.7745,0.72253,1.16026,0.0001585,0.0001585,0.0001585
87,3860.73,0.69026,0.59326,1.13552,0.83261,0.75468,0.82975,0.66318,0.76461,0.72694,1.15287,0.0001486,0.0001486,0.0001486
88,3904.8,0.68512,0.59275,1.13488,0.83503,0.7426,0.83195,0.66526,0.76413,0.72684,1.15198,0.0001387,0.0001387,0.0001387
89,3948.84,0.68805,0.59199,1.12897,0.83985,0.74518,0.83386,0.66593,0.75868,0.72775,1.14638,0.0001288,0.0001288,0.0001288
90,3992.78,0.67116,0.58003,1.12342,0.84441,0.73843,0.83293,0.66589,0.7635,0.73348,1.14971,0.0001189,0.0001189,0.0001189
91,4037.43,0.61223,0.48769,1.09904,0.82338,0.7489,0.83367,0.66344,0.76488,0.72014,1.15235,0.000109,0.000109,0.000109
92,4080.92,0.61315,0.45642,1.08966,0.83327,0.74438,0.83373,0.66474,0.76,0.72486,1.14432,9.91e-05,9.91e-05,9.91e-05
93,4124.5,0.59693,0.45035,1.0863,0.84416,0.74538,0.83548,0.66466,0.76207,0.72755,1.14927,8.92e-05,8.92e-05,8.92e-05
94,4167.72,0.59588,0.4467,1.07984,0.83899,0.75004,0.84045,0.66678,0.76525,0.7272,1.14971,7.93e-05,7.93e-05,7.93e-05
95,4211.21,0.59732,0.44687,1.07481,0.84365,0.74631,0.8381,0.66732,0.7658,0.72377,1.14681,6.94e-05,6.94e-05,6.94e-05
96,4254.49,0.59023,0.44077,1.07098,0.85255,0.73936,0.83436,0.66492,0.76204,0.72161,1.14906,5.95e-05,5.95e-05,5.95e-05
97,4297.76,0.59655,0.43094,1.07845,0.83718,0.75513,0.84062,0.66638,0.76337,0.71647,1.14784,4.96e-05,4.96e-05,4.96e-05
98,4341.12,0.58701,0.42507,1.06604,0.84449,0.75467,0.84002,0.66927,0.7653,0.71728,1.1479,3.97e-05,3.97e-05,3.97e-05
99,4384.29,0.58577,0.42929,1.07293,0.84985,0.74084,0.83762,0.66839,0.76301,0.7251,1.14713,2.98e-05,2.98e-05,2.98e-05
100,4427.57,0.58117,0.42215,1.06347,0.83257,0.75216,0.83633,0.66646,0.76399,0.72699,1.14864,1.99e-05,1.99e-05,1.99e-05
